,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
22,INFRATEL,EQ,14-Jun-2017,384.2,382.7,387.4,381.45,386.9,386.1,384.75,1317476,506897019.55,39782,825288,62.64,6,2017,378.17277571258927,0.004945340968245837,Slight or No change
23,INFRATEL,EQ,15-Jun-2017,386.1,385.3,389.1,370.65,378.25,374.8,378.94,2369536,897923562.7,33682,1201629,50.71,6,2017,378.03387711512215,-0.029267029267029288,Slight or No change
24,INFRATEL,EQ,16-Jun-2017,374.8,374.8,384.65,373.25,375.0,375.1,379.31,2699975,1024121008.9,53617,1350780,50.03,6,2017,377.90237490107955,0.0008004268943437864,Slight or No change
25,INFRATEL,EQ,19-Jun-2017,375.1,376.0,383.9,373.5,375.05,376.55,380.64,2163886,823666461.2,50329,1353450,62.55,6,2017,377.8554789182063,0.003865635830445191,Slight or No change
26,INFRATEL,EQ,20-Jun-2017,376.55,377.15,381.5,375.7,377.75,377.1,378.48,1331396,503909527.95,27127,283356,21.28,6,2017,377.83969680500905,0.001460629398486235,Slight or No change
27,INFRATEL,EQ,21-Jun-2017,377.1,377.5,378.1,370.5,371.05,371.7,374.03,2388975,893538570.7,67053,1379532,57.75,6,2017,377.617870709935,-0.014319809069212486,Slight or No change
28,INFRATEL,EQ,22-Jun-2017,371.7,372.2,376.5,371.0,374.9,375.0,374.83,1120673,420060242.7,40145,595546,53.14,6,2017,377.57424101084047,0.008878127522195411,Slight or No change
29,INFRATEL,EQ,23-Jun-2017,375.0,377.35,378.55,371.05,372.5,372.15,375.39,2156583,809553208.85,61112,981685,45.52,6,2017,377.40568260233044,-0.007600000000000051,Slight or No change
30,INFRATEL,EQ,27-Jun-2017,372.15,373.7,375.9,368.8,372.65,373.3,373.23,1850097,690519836.75,64523,1074997,58.1,6,2017,377.2990723366701,0.0030901518205026512,Slight or No change
31,INFRATEL,EQ,28-Jun-2017,373.3,372.6,379.95,371.1,379.3,376.45,373.66,1768602,660848264.6,33839,1296489,73.31,6,2017,377.2785065552793,0.008438253415483432,Slight or No change
32,INFRATEL,EQ,29-Jun-2017,376.45,379.9,382.5,374.25,375.45,378.2,378.89,5450689,2065236593.6,101550,3142730,57.66,6,2017,377.3425165184799,0.00464869172532878,Slight or No change
33,INFRATEL,EQ,30-Jun-2017,378.2,375.0,377.05,371.25,374.0,374.55,373.63,980667,366404153.3,19464,552996,56.39,6,2017,377.3080476324662,-0.009650978318350045,Slight or No change
34,INFRATEL,EQ,03-Jul-2017,374.55,374.5,399.9,374.45,398.0,397.75,391.57,4181712,1637449786.0,65358,2066573,49.42,7,2017,378.3301847263354,0.061940995861700765,Slight or No change
35,INFRATEL,EQ,04-Jul-2017,397.75,399.8,405.9,396.6,402.0,401.55,402.02,2412278,969779026.35,42566,766981,31.79,7,2017,378.98116693367183,0.009553739786297921,Slight or No change
36,INFRATEL,EQ,05-Jul-2017,401.55,397.75,405.75,397.75,403.5,403.05,402.57,1039605,418513502.75,22627,442453,42.56,7,2017,379.268503267341,0.0037355248412402897,Slight or No change
37,INFRATEL,EQ,06-Jul-2017,403.05,403.55,416.2,398.6,415.0,414.7,409.04,2220499,908280558.85,52165,956315,43.07,7,2017,380.14949559362765,0.02890460240664927,Slight or No change
38,INFRATEL,EQ,07-Jul-2017,414.7,413.0,414.65,402.15,407.05,404.35,406.07,2673281,1085550146.4,47500,1433912,53.64,7,2017,380.8528777285737,-0.024957800819869758,Slight or No change
39,INFRATEL,EQ,10-Jul-2017,404.35,415.0,415.0,404.0,408.0,410.3,407.62,1255267,511667882.4,8681,1012975,80.7,7,2017,381.2493513065373,0.01471497465067384,Slight or No change
40,INFRATEL,EQ,11-Jul-2017,410.3,410.3,414.55,405.25,409.75,409.85,410.45,2575028,1056930894.95,77052,2036985,79.11,7,2017,382.0180581421803,-0.0010967584694125954,Slight or No change
41,INFRATEL,EQ,12-Jul-2017,409.85,410.0,422.35,405.6,420.95,420.3,414.38,4389373,1818888507.8,65811,2715936,61.88,7,2017,383.6951026360335,0.0254971330974747,Slight or No change
42,INFRATEL,EQ,13-Jul-2017,420.3,420.95,421.9,407.25,411.5,410.6,410.93,3111485,1278612295.7,60451,1962249,63.06,7,2017,384.50543993395047,-0.023078753271472685,Slight or No change
43,INFRATEL,EQ,14-Jul-2017,410.6,413.7,418.45,408.65,418.0,417.8,415.26,1575033,654049446.9,35844,898920,57.07,7,2017,385.00542659835395,0.017535314174379035,Slight or No change
44,INFRATEL,EQ,17-Jul-2017,417.8,417.8,420.3,415.7,418.05,418.65,418.14,1083121,452894420.45,20397,835248,77.11,7,2017,385.34932134634164,0.002034466251795042,Slight or No change
45,INFRATEL,EQ,18-Jul-2017,418.65,414.15,424.75,414.15,419.95,418.2,419.86,2192538,920567002.1,37056,1593504,72.68,7,2017,386.01525466907754,-0.001074883554281647,Slight or No change
46,INFRATEL,EQ,19-Jul-2017,418.2,417.9,422.9,412.0,412.95,415.15,416.13,1493859,621640127.8,32339,962825,64.45,7,2017,386.4121744871067,-0.007293161166905815,Slight or No change
47,INFRATEL,EQ,20-Jul-2017,415.15,412.2,414.95,404.55,406.5,406.1,407.86,1825907,744714074.5,28971,1261352,69.08,7,2017,386.73464212052284,-0.021799349632662834,Slight or No change
48,INFRATEL,EQ,21-Jul-2017,406.1,406.9,411.75,401.25,410.2,410.3,406.13,1371671,557083322.55,24812,488069,35.58,7,2017,387.02107482674677,0.010342280226545153,Slight or No change
49,INFRATEL,EQ,24-Jul-2017,410.3,413.3,415.45,403.35,406.4,408.9,410.32,2056890,843976057.35,36930,966819,47.0,7,2017,387.4127185308239,-0.003412137460394926,Slight or No change
50,INFRATEL,EQ,25-Jul-2017,408.9,414.9,425.0,413.45,415.2,415.65,418.9,2965248,1242145006.15,61583,692348,23.35,7,2017,388.1230693888672,0.01650770359501097,Slight or No change
51,INFRATEL,EQ,26-Jul-2017,415.65,412.65,414.9,407.55,413.55,413.5,411.36,1488819,612443075.5,30140,973385,65.38,7,2017,388.4396022958505,-0.005172621195717486,Slight or No change
52,INFRATEL,EQ,27-Jul-2017,413.5,417.0,417.0,409.0,411.05,411.05,411.87,2796607,1151846550.45,40461,1809638,64.71,7,2017,388.95723229529574,-0.005925030229745998,Slight or No change
53,INFRATEL,EQ,28-Jul-2017,411.05,413.9,413.9,398.65,399.65,403.9,405.68,2250006,912784538.6,34033,1367697,60.79,7,2017,389.22748376916917,-0.017394477557474808,Slight or No change
54,INFRATEL,EQ,31-Jul-2017,403.9,398.65,406.0,395.25,400.05,401.4,401.54,3107036,1247601918.75,45140,1769982,56.97,7,2017,389.52408084673567,-0.006189650903689059,Slight or No change
55,INFRATEL,EQ,01-Aug-2017,401.4,401.4,407.05,398.75,400.55,403.7,402.8,1633983,658168040.15,21937,1026341,62.81,8,2017,389.70343409523844,0.005729945191828678,Slight or No change
